,period_start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
1013,1946-06-01,84-30474,129-46686,111-614,97-84898000000001,74-29013,69-9973,66-90221,61-56586,98-08610999999999,73-89505,91-4504,129-19759,67-09583,69.04278000000001,30
1014,1946-07-01,125-82701000000002,183-52703,125-66775,108-6764,56-43034,94-69768,56-747330000000005,100-57943,126-93781000000001,48-92794,49-53589,78-72458,52-92731,94.75101,31
1015,1946-08-01,118-161,125-44795,122-61112,143-00656,108-33012,94-44697,102-99472,119-58233999999999,161-30323,122-99258999999999,144-55751999999998,193-59743999999998,143-74576000000002,125.6919,31
1016,1946-09-01,141-27445,187-53953,213-48762000000002,179-55615,88-3799,70-87581,78-98584,106-51872,182-5577,96-73351,146-96198,196-54483000000002,100-05974,130.48815,30
1017,1946-10-01,16-65813,19-97002,21-05114,37-81384,39-51545,36-93411,32-11985,27-73657,22-87238,32-92107,52-35253,50-40647,21-15236,33.14607,31
1018,1946-11-01,189-37625,154-99381,202-12443000000002,121-00736,132-38297,96-32329,92-98786,138-02813,187-19904,136-45586,177-70362,235-74218,133-43214,162.9821,30
1019,1946-12-01,114-48669,132-40989,171-97758000000002,131-74469,67-57021,59-938359999999996,56-237719999999996,73-23666,136-0135,76-89123000000001,121-00941999999999,159-30558,69-07318000000001,86.28457,31
1020,1947-01-01,133-61704,114-43652,161-08189,109-73727,53-3408,42-75595,42-10808,69-79494,112-03003000000001,59-843090000000004,98-3989,136-53978999999998,55-023740000000004,78.57177,31
1021,1947-02-01,63-101319999999994,20-35965,22-27489,33-71403,46-81694,41-0923,35-22661,87-88861,30-06547,46-12254,44-99853,57-429390000000005,39-08675,74.92978000000001,28
1022,1947-03-01,124-78905,57-60086999999999,131-51488999999998,137-91057,122-85817,110-65171000000001,130-31429,133-99233,159-05528999999999,150-49184,203-4694,253-97595,148-89113,141.30031,31
1023,1947-04-01,145-69621999999998,220-95292999999998,201-45995,104-66463,54-3343,40-7233,43-243790000000004,118-55698999999998,133-37945,53-02542,75-83601999999999,124-3097,60-33676,83.10379,30
1024,1947-05-01,112-51666999999999,67-71019,129-11078999999998,103-37355,31-73345,15-75315,28-64217,61-87608,85-04776,38-66305,72-43224000000001,95-06265,62-35431,57.5949,31
1025,1947-06-01,89-64121,120-83684,117-98036,106-27415,53-65865,58-237809999999996,69-20855999999999,77-25824,82-02163,53-058609999999994,69-76618,75-07921999999999,41-05385,75.93075,30
1026,1947-07-01,91-21836,96-68403,135-49986,116-74231999999999,53-68609,48-30871,48-34489,94-69264,101-32574,49-17756,63-18634,100-46262,74-98618,58.24596,31
1027,1947-08-01,5-2647699999999995,6-46052,3-5408199999999996,12-637310000000001,5-47246,3-9620800000000003,5-22891,6-46256,6-71162,10-73202,24-4421,19-95843,18-90306,10.62335,31
1028,1947-09-01,94-08361,201-62766000000002,156-54698,80-80445999999999,31-36935,27-90786,32-29003,48-01474,97-09687,34-637,48-720490000000005,82-33238,37-96855,50.6978,30
1029,1947-10-01,59-10415,92-3775,69-38197,56-67315,8-79827,5-96551,3-93115,22-04724,22-3152,15-05977,30-954279999999997,30-92192,11-80514,22.15714,31
1030,1947-11-01,133-06059,271-51335,226-93157000000002,150-27255,43-750170000000004,31-040490000000002,26-04211,85-36673,164-26022,37-652640000000005,77-03026,166-5028,55-0827,78.178,30
1031,1947-12-01,67-8115,105-11606,91-16888,79-94515,61-06746,62-59509,62-027719999999995,62-42909,80-58537,71-78681,90-8612,124-54275,57-83944,67.17666,31
1032,1948-01-01,179-38789,162-78501,242-26875,182-74024,122-18118,91-53952,88-20385,219-62523,229-75896,128-57345,193-94521,301-66297000000003,133-47597,177.57251000000002,31
1033,1948-02-01,103-40014000000001,152-28297,142-99281000000002,67-82236,32-21078,23-85697,36-6271,48-93374,86-19476999999999,36-447379999999995,44-19449,94-60027,35-327020000000005,49.373329999999996,29
1034,1948-03-01,67-94032,124-05713,141-24322,71-80026,17-621920000000003,18-095110000000002,18-11974,32-63409,71-66773,22-7554,42-54759,77-62586999999999,28-57455,37.30701,31
1035,1948-04-01,69-16455,125-75625,99-00495,60-625769999999996,37-62403,35-1196,36-42058,55-01221999999999,60-87549,41-08452,61-40775,74-19955,49-81179,49.69236,30
1036,1948-05-01,79-04507,77-55014,49-59982,52-729859999999995,62-70975,68-25235,58-47979,42-23172,43-15473,73-94548,89-46661999999999,74-94703,64-42786,39.0344,31
1037,1948-06-01,137-77442,125-54923000000001,156-35231000000002,100-44181999999999,77-58426999999999,68-86856999999999,61-986830000000005,106-30358000000001,153-83848999999998,63-11326,63-924330000000005,133-28338,76-73331999999999,111.05219,30
1038,1948-07-01,84-0997,119-43848999999999,121-156,81-90092,35-22082,37-06357,27-275240000000004,36-22273,69-31855999999999,33-08361,43-36721,79-03663,38-88272,35.01608,31
1039,1948-08-01,209-0812,169-87038,200-773,110-01605,93-86657,88-77571,86-25036,148-48013999999998,148-45297,96-35611999999999,104-74871999999999,158-05666000000002,106-63416000000001,104.14056,31
1040,1948-09-01,108-37935,202-68426000000002,209-22225,109-94066000000001,62-044109999999996,40-89389,33-530229999999996,85-72362,124-93202,58-22048,66-70848000000001,128-95873,68-05282,54.202630000000006,30
1041,1948-10-01,114-54803999999999,196-13233,206-22536000000002,87-94691,57-274519999999995,50-973490000000005,51-0141,52-897330000000004,91-26101,56-946130000000004,110-92173999999999,118-07276999999999,61-64988,43.18825,31
1042,1948-11-01,65-59654,145-31277,131-51008000000002,78-0154,34-57605,36-50923,44-59988,52-49705,94-74271,45-66813,57-76084,105-37933999999998,42-168490000000006,36.98768,30
1043,1948-12-01,152-7305,188-17401,222-93833999999998,164-15042,79-66394,43-58057,69-67435,70-42229,117-92268,95-0095,160-58876,216-65135,106-7939,78.61392,31
1044,1949-01-01,97-1211,245-00502999999998,173-25624,96-3563,30-13252,25-87405,24-597089999999998,40-41783,83-19636,31-37015,33-89517,82-10781,37-84641,34.6307,31
1045,1949-02-01,81-81985999999999,183-37996,159-49656000000002,77-90453000000001,21-38901,23-81577,26-24687,40-7307,83-14291,33-62382,44-63499,68-97556,24-14023,39.993359999999996,28
1046,1949-03-01,59-29784,111-32285,81-30962,68-075,32-934940000000005,23-84659,22-339579999999998,30-05095,56-69971999999999,33-55462,43-41539,71-78761,43-01228,34.56926,31
1047,1949-04-01,73-1095,173-59361,172-35605,80-03448,55-81275,40-09644,40-19021,48-81199,115-83296999999999,41-88635,54-41305,120-82963000000001,61-581540000000004,73.26827,30
1048,1949-05-01,63-2838,94-05948000000001,69-63429000000001,60-3576,55-007659999999994,52-82271,48-68116,27-932140000000004,75-77877,53-74638,75-98531,100-64157,63-88735,47.28267,31
1049,1949-06-01,41-621109999999994,50-22087,36-31667,28-860329999999998,17-39545,18-83596,16-78869,26-20851,24-189220000000002,16-0917,16-35299,23-38532,13-71253,19.97856,30
1050,1949-07-01,62-956830000000004,64-62353,73-32368000000001,70-86187,72-58658,43-52298,35-20102,57-52955,77-80198,23-95785,48-40952,52-39403,50-946090000000005,68.23255,31
1051,1949-08-01,114-50423,183-97527,140-86729,89-43524000000001,44-17327,37-86792,37-08269,59-47374,76-64878,35-76231,51-25952,85-90606,38-245509999999996,62.176919999999996,31
1052,1949-09-01,53-3173,97-65263,75-20054,67-74903,34-44239,24-379360000000002,14-624989999999999,41-2888,41-3896,50-78225,84-36296,57-919290000000004,40-141459999999995,28.59791,30
1053,1949-10-01,142-86218,160-30131,215-08882999999997,143-35256,106-2681,103-12567,140-89116,114-56901,153-85105,186-12155,200-66666,228-23335,126-82128999999999,90.09104,31
1054,1949-11-01,116-48933000000001,158-46384,192-4675,103-88082,78-94739,57-5938,61-018330000000006,105-47813000000001,166-61346,86-53143,126-01626,176-45039,79-83493,116.69641999999999,30
1055,1949-12-01,154-45952,320-74182,285-67753,151-72689,52-29338,38-57502,38-55375,107-24536,192-88484,43-612390000000005,63-390130000000006,172-03866000000002,48-79217,102.76048,31
1056,1950-01-01,76-43601,159-29318,123-66188000000001,68-132,25-56454,28-287709999999997,25-065929999999998,54-510659999999994,75-45815999999999,24-54319,29-630540000000003,54-0168,18-220489999999998,46.74879,31
1057,1950-02-01,119-71632,162-18791000000002,156-38833,100-38073,106-04301000000001,78-75888,94-3099,112-76443,147-42605,125-11806999999999,174-08826000000002,237-89531000000002,123-96773,125.67643999999999,28
1058,1950-03-01,83-14513000000001,110-6506,114-54663000000001,52-9733,23-514210000000002,12-98758,19-619510000000002,31-42715,67-94739,32-06885,49-91366,79-85404,33-33925,36.13613,31
1059,1950-04-01,88-3346,177-25204,123-98666999999999,124-1192,63-05081,47-65597,64-37624,63-84146,93-6504,61-82046,68-79436,116-28493999999999,59-298559999999995,79.06836,30
1060,1950-05-01,47-116040000000005,54-7512,53-874469999999995,36-86668,57-88746,53-69871,38-94655,47-06155,47-019909999999996,44-59037,59-59802,49-2938,39-183370000000004,51.102740000000004,31
1061,1950-06-01,54-87665,112-86243999999999,96-39265,64-85308,42-750840000000004,40-89262,37-612120000000004,44-3009,72-83502,34-245020000000004,44-11564,64-49335,42-18867,37.2713,30
1062,1950-07-01,127-10521999999999,131-06422,169-70129,155-07425,66-84548000000001,96-7143,87-48853000000001,91-19398000000001,107-03113,98-78913,123-50703999999999,125-4634,71-58851,75.76885,31
1063,1950-08-01,112-93205,137-65768,186-496,152-93694,66-57409,59-9167,49-791290000000004,122-40083,189-70422,81-08511999999999,147-86666,220-84356,98-20044,125.64025,31
1064,1950-09-01,210-33611000000002,282-03291,318-49629,190-36455,88-37739,74-73646,66-91875,119-85946000000001,222-95892999999998,82-19719,141-47994,246-10246,100-04948,105.2266,30
1065,1950-10-01,76-68481,157-55323,162-45545,98-46408000000001,23-44203,15-605210000000001,10-00768,47-05693,100-0261,16-64004,44-5762,101-8659,27-658820000000002,46.08783,31
1066,1950-11-01,124-72843999999999,162-26823000000002,130-35177,86-74172,108-7362,104-23231,124-96998,147-14494,140-63857,149-33077,193-01781,184-22541999999999,105-08197,128.32396,30
1067,1950-12-01,65-69635,126-93408000000001,76-01614000000001,103-41712,41-7493,42-5672,42-40068,67-69981999999999,79-21364,52-378240000000005,91-94693000000001,111-61111000000001,49-06501,69.63965999999999,31
1068,1951-01-01,124-79713000000001,174-82294,178-51015,96-93793000000001,65-3542,60-894890000000004,72-35989000000001,69-1696,119-54486000000001,88-35486999999999,112-49338999999999,152-97974,64-67701,71.0125,31
1069,1951-02-01,105-00593,118-67958,109-45024,97-42583,82-28752,85-85404,145-26718,71-74568000000001,106-6635,148-86803999999998,134-23931000000002,144-50383,74-44912,84.52976,28
1070,1951-03-01,88-76178,97-87831,113-50577,82-54239,89-88292,78-76507,79-02193,102-12993,125-24304,99-57297,121-43855,172-70774,108-18903,94.86635,31
1071,1951-04-01,95-01335,168-66815,97-16741,52-36844,53-15518,78-41873000000001,70-46761,60-435019999999994,70-92426,69-22673,83-10346,105-20605,59-8314,41.06232,30
1072,1951-05-01,56-214119999999994,22-49803,57-544630000000005,52-60694,83-55539,57-6127,54-7474,90-45824,60-126630000000006,65-38955,79-84888000000001,83-99117,83-48040999999999,112.51402,31
1073,1951-06-01,54-414730000000006,71-98531,62-14441,67-0964,30-72144,29-75688,26-800659999999997,34-92933,35-17835,33-98381,27-39902,38-05898,30-20941,33.06818,30
1074,1951-07-01,104-93216000000001,128-30369,109-51435,91-74444,26-752440000000004,40-559909999999995,38-81592,51-29034,84-21314,47-91154,44-90402,54-799080000000004,35-433820000000004,57.56771,31
1075,1951-08-01,135-73042,147-28642,166-78711,124-29326,118-10815,84-57316999999999,88-29588000000001,113-70407,132-31208,117-31113,140-16748,184-28538,109-28698999999999,142.95413,31
1076,1951-09-01,63-24564,93-11735,132-73993000000002,73-31574,39-900909999999996,63-762130000000006,71-4558,41-38089,120-72182,85-01698,98-244,146-84816999999998,59-80822,52.211870000000005,30
1077,1951-10-01,28-07409,90-92121,46-02941,33-44767,27-314090000000004,21-641170000000002,23-14255,28-317790000000002,30-21302,33-79057,35-177279999999996,40-425540000000005,23-70664,38.9074,31
1078,1951-11-01,233-43637999999999,200-37268999999998,249-09372000000002,168-32261,132-61712,90-57234,127-27693000000001,182-6147,239-3557,167-32988999999998,201-19324,256-60124,165-67508,175.21403,30
1079,1951-12-01,122-36466999999999,244-49222000000003,269-3222,136-61978,49-82325,39-058690000000006,49-30493,88-60908,225-01495,68-40693,95-45106,194-84557,68-4012,104.83758,31
1080,1952-01-01,91-50078,163-41506,174-94799,138-14758,53-94433000000001,51-49075,46-91004,74-03014,118-10734,60-94268,97-8137,163-84672,65-84628000000001,74.14627,31
1081,1952-02-01,36-18141,96-46892,58-25703000000001,38-67353,16-313860000000002,20-08004,21-543960000000002,18-396729999999998,34-434329999999996,22-06544,24-92761,47-6495,17-10521,20.45665,29
1082,1952-03-01,82-49324,121-71681000000001,104-90836000000002,49-4769,65-89693,69-63008,70-81407,44-69639,66-25828,76-52413,91-44694,89-72909,49-3679,58.17196,31
1083,1952-04-01,54-94973,71-03754,76-83281,42-98353,42-00869,33-648179999999996,32-07459,48-50161,87-61899,42-3117,75-21521,92-90536,57-56196,42.39991,30
1084,1952-05-01,67-5223,76-47336,64-94100999999999,43-23872,57-63134,36-82976,41-262840000000004,44-78437,67-48087,59-330890000000004,86-5022,104-11764000000001,70-23484,44.57135,31
1085,1952-06-01,76-6286,104-35184,104-99914,71-21248,50-38899,33-24485,40-34578,45-770720000000004,88-65401999999999,35-43877,49-120509999999996,86-89686999999999,50-128370000000004,54.21618,30
1086,1952-07-01,61-39705,85-30592,106-27488999999998,50-860690000000005,18-67015,22-3074,16-76298,38-99597,65-94261999999999,15-74975,28-95904,55-47565,27-36655,48.22814,31
1087,1952-08-01,113-2758,149-52333000000002,155-9664,128-98398999999998,64-4421,77-57329,77-55374,84-52708,131-60377,85-35919,136-91482,152-88741000000002,94-02051999999999,70.61613,31
1088,1952-09-01,62-17021999999999,136-33656000000002,99-50763,58-83854,57-48234,73-7532,78-66755,104-0051,109-25587,86-45368,97-91068,106-32512,45-28761,99.91926,30
1089,1952-10-01,116-08046999999999,164-36479,160-67951000000002,116-59253000000001,76-6571,56-07936,67-57663000000001,93-69407,118-8606,93-1358,134-71765,165-00405,105-05653000000001,91.70439,31
1090,1952-11-01,91-08001,132-49501,83-81201999999999,79-43531,60-59721999999999,94-19559,90-61912,96-37621999999999,71-38858,99-89808000000001,119-84653999999999,113-26167,61-228809999999996,64.81900999999999,30
1091,1952-12-01,116-59075,171-12214,168-82913,118-74193000000001,57-6568,57-80089,59-70435,95-0763,120-92201000000001,74-45339,95-40701999999999,134-86726000000002,71-83830999999999,67.58699,31
1092,1953-01-01,41-6256,120-02833999999999,88-13156,39-146640000000005,25-50093,25-35819,24-316270000000003,30-0227,56-07216,28-1484,25-07292,52-37084,22-56298,25.85295,31
1093,1953-02-01,45-06566,125-75747,71-73413000000001,39-82476,44-01051,35-47922,37-75483,46-99922,52-44237,40-917640000000006,50-27695,87-56889,40-32423,58.678290000000004,28
1094,1953-03-01,23-85385,65-53713,38-09878,15-81511,29-828440000000004,14-383020000000002,11-24718,10-003739999999999,31-200590000000002,12-123510000000001,25-569,83-80185,32-32362,18.41013,31
1095,1953-04-01,83-31181,128-32711,85-0777,54-74414,59-11524,53-81148,61-24663,78-33740999999999,88-08112,57-41715,79-5618,107-11559,68-63615,66.2191,30
1096,1953-05-01,72-33393000000001,110-28858999999999,86-8899,62-79569,54-50134,37-10288,36-26226,60-583169999999996,63-67749,48-83478,74-95515,79-5476,54-35386,50.35079,31
1097,1953-06-01,70-86265999999999,67-1528,48-28344,48-3076,70-75421,66-00471999999999,39-996590000000005,67-61668,72-09406,50-29719,59-41025,65-53641,57-09281,67.23170999999999,30
1098,1953-07-01,131-77049,160-76877,184-72458999999998,135-25153999999998,61-02891999999999,67-68411,93-4974,86-41561,152-17571,86-94303000000001,102-93106,147-57449,78-4572,80.84203000000001,31
1099,1953-08-01,75-14296999999999,135-60203,131-38969,93-63294,63-67581,54-112030000000004,42-33258,102-1742,135-54331000000002,54-08889,77-50551,130-20283,72-57687,91.42595,31
1100,1953-09-01,110-16065,142-00692,188-12337,89-16776,34-66749,37-97113,56-4173,72-79916,148-89022,75-75612,99-52327,150-47638,65-07916999999999,58.7172,30
1101,1953-10-01,60-71516999999999,106-73317,130-26883,63-26615,58-23986,59-62249,83-63548,44-463229999999996,60-10541,85-92679,86-34622,94-22175,55-22817,52.941790000000005,31
1102,1953-11-01,128-77862,234-84919,249-58102999999997,101-43439000000001,41-02823,32-90017,27-3941,61-248709999999996,159-74647,41-34452,64-63306999999999,153-546,41-98895,72.25358,30
1103,1953-12-01,118-32645,160-24933000000001,161-97808999999998,92-08769000000001,24-617520000000003,20-11748,16-15931,37-97113,66-58662,20-796960000000002,29-23135,53-82668,31-47989,39.69874,31
1104,1954-01-01,94-63694,142-71769,169-37465,88-65765,37-99471,33-78447,28-14218,83-57666,107-8193,40-22303,57-78043,114-92261,44-011070000000004,64.39686,31
1105,1954-02-01,93-47719000000001,108-10428999999999,137-74059,119-33832,63-07272,51-33457,56-43772,56-75958000000001,94-97679000000001,67-42943000000001,103-74084,136-88884,65-55456,67.9581,28
1106,1954-03-01,84-56845,103-54381,115-82326,95-58268000000001,52-9642,56-297940000000004,53-657619999999994,46-499190000000006,81-19367,75-07543000000001,98-78865,122-12704,59-4063,57.255880000000005,31
1107,1954-04-01,40-64627,65-50793,53-435219999999994,24-94642,9-32137,8-23888,7-92161,16-29064,30-811840000000004,8-65075,12-943019999999999,37-16522,12-84107,12.51028,30
1108,1954-05-01,144-38466,116-54898999999999,112-27383999999999,107-89793,76-04159,55-12489,54-81422,111-16586000000001,88-63128,59-78694,72-46859,99-38745,67-17497,84.73132,31
1109,1954-06-01,74-56199000000001,117-09862,127-11558000000001,76-238,72-02184,60-71151999999999,93-27225,57-04065,114-91675,85-9201,100-32217,134-54881,85-98222,57.582919999999994,30
1110,1954-07-01,80-1116,111-71172,130-53923999999998,110-95261,63-63525,67-49675,70-29305,66-991,140-8451,78-37286999999999,93-21709,131-03822,74-09489,66.72231,31
